n_rep_periods,period_length,clustering_type,weight_type,tol,evaluation_type,normalization
40,24,k_medoids,convex,0.01,investment_regret,economic
40,24,k_medoids,conical,0.01,investment_regret,economic
40,24,k_medoids,conical_bounded,0.01,investment_regret,economic
40,24,hierarchical,dirac,0.01,investment_regret,economic
40,24,hierarchical,convex,0.01,investment_regret,economic
40,24,hierarchical,conical,0.01,investment_regret,economic
40,24,hierarchical,conical_bounded,0.01,investment_regret,economic
40,24,chronological,dirac,0.01,investment_regret,economic
40,24,chronological,convex,0.01,investment_regret,economic
40,24,chronological,conical,0.01,investment_regret,economic
40,24,chronological,conical_bounded,0.01,investment_regret,economic
40,24,convex_hull,dirac,0.01,investment_regret,economic
40,24,convex_hull,convex,0.01,investment_regret,economic
40,24,convex_hull,conical,0.01,investment_regret,economic
40,24,convex_hull,conical_bounded,0.01,investment_regret,economic
40,24,convex_hull_with_null,dirac,0.01,investment_regret,economic
40,24,convex_hull_with_null,convex,0.01,investment_regret,economic
40,24,convex_hull_with_null,conical,0.01,investment_regret,economic
40,24,convex_hull_with_null,conical_bounded,0.01,investment_regret,economic
40,24,conical_hull,dirac,0.01,investment_regret,economic
40,24,conical_hull,convex,0.01,investment_regret,economic
40,24,conical_hull,conical,0.01,investment_regret,economic
40,24,conical_hull,conical_bounded,0.01,investment_regret,economic
80,24,k_means,dirac,0.01,investment_regret,economic
80,24,k_means,convex,0.01,investment_regret,economic
80,24,k_means,conical,0.01,investment_regret,economic
80,24,k_means,conical_bounded,0.01,investment_regret,economic
80,24,k_medoids,dirac,0.01,investment_regret,economic
80,24,k_medoids,convex,0.01,investment_regret,economic
80,24,k_medoids,conical,0.01,investment_regret,economic
80,24,k_medoids,conical_bounded,0.01,investment_regret,economic
80,24,hierarchical,dirac,0.01,investment_regret,economic
80,24,hierarchical,convex,0.01,investment_regret,economic
80,24,hierarchical,conical,0.01,investment_regret,economic
80,24,hierarchical,conical_bounded,0.01,investment_regret,economic
80,24,chronological,dirac,0.01,investment_regret,economic
80,24,chronological,convex,0.01,investment_regret,economic
80,24,chronological,conical,0.01,investment_regret,economic
80,24,chronological,conical_bounded,0.01,investment_regret,economic
80,24,convex_hull,dirac,0.01,investment_regret,economic
80,24,convex_hull,convex,0.01,investment_regret,economic
80,24,convex_hull,conical,0.01,investment_regret,economic
80,24,convex_hull,conical_bounded,0.01,investment_regret,economic
80,24,convex_hull_with_null,dirac,0.01,investment_regret,economic
80,24,convex_hull_with_null,convex,0.01,investment_regret,economic
80,24,convex_hull_with_null,conical,0.01,investment_regret,economic
80,24,convex_hull_with_null,conical_bounded,0.01,investment_regret,economic
80,24,conical_hull,dirac,0.01,investment_regret,economic
80,24,conical_hull,convex,0.01,investment_regret,economic
80,24,conical_hull,conical,0.01,investment_regret,economic
80,24,conical_hull,conical_bounded,0.01,investment_regret,economic
10,24,k_means,dirac,0.01,investment_regret,unscaled
10,24,k_means,convex,0.01,investment_regret,unscaled
10,24,k_means,conical,0.01,investment_regret,unscaled
10,24,k_means,conical_bounded,0.01,investment_regret,unscaled
10,24,k_medoids,dirac,0.01,investment_regret,unscaled
10,24,k_medoids,convex,0.01,investment_regret,unscaled
10,24,k_medoids,conical,0.01,investment_regret,unscaled
10,24,k_medoids,conical_bounded,0.01,investment_regret,unscaled
10,24,hierarchical,dirac,0.01,investment_regret,unscaled
10,24,hierarchical,convex,0.01,investment_regret,unscaled
10,24,hierarchical,conical,0.01,investment_regret,unscaled
10,24,hierarchical,conical_bounded,0.01,investment_regret,unscaled
10,24,chronological,dirac,0.01,investment_regret,unscaled
10,24,chronological,convex,0.01,investment_regret,unscaled
10,24,chronological,conical,0.01,investment_regret,unscaled
10,24,chronological,conical_bounded,0.01,investment_regret,unscaled
10,24,convex_hull,dirac,0.01,investment_regret,unscaled
10,24,convex_hull,convex,0.01,investment_regret,unscaled
10,24,convex_hull,conical,0.01,investment_regret,unscaled
10,24,convex_hull,conical_bounded,0.01,investment_regret,unscaled
10,24,convex_hull_with_null,dirac,0.01,investment_regret,unscaled
10,24,convex_hull_with_null,convex,0.01,investment_regret,unscaled
10,24,convex_hull_with_null,conical,0.01,investment_regret,unscaled
10,24,convex_hull_with_null,conical_bounded,0.01,investment_regret,unscaled
10,24,conical_hull,dirac,0.01,investment_regret,unscaled
10,24,conical_hull,convex,0.01,investment_regret,unscaled
10,24,conical_hull,conical,0.01,investment_regret,unscaled
10,24,conical_hull,conical_bounded,0.01,investment_regret,unscaled
20,24,k_means,dirac,0.01,investment_regret,unscaled
20,24,k_means,convex,0.01,investment_regret,unscaled
20,24,k_means,conical,0.01,investment_regret,unscaled
20,24,k_means,conical_bounded,0.01,investment_regret,unscaled
20,24,k_medoids,dirac,0.01,investment_regret,unscaled
20,24,k_medoids,convex,0.01,investment_regret,unscaled
20,24,k_medoids,conical,0.01,investment_regret,unscaled
20,24,k_medoids,conical_bounded,0.01,investment_regret,unscaled
20,24,hierarchical,dirac,0.01,investment_regret,unscaled
20,24,hierarchical,convex,0.01,investment_regret,unscaled
20,24,hierarchical,conical,0.01,investment_regret,unscaled
20,24,hierarchical,conical_bounded,0.01,investment_regret,unscaled
20,24,chronological,dirac,0.01,investment_regret,unscaled
20,24,chronological,convex,0.01,investment_regret,unscaled
20,24,chronological,conical,0.01,investment_regret,unscaled
20,24,chronological,conical_bounded,0.01,investment_regret,unscaled
20,24,convex_hull,dirac,0.01,investment_regret,unscaled
20,24,convex_hull,convex,0.01,investment_regret,unscaled
20,24,convex_hull,conical,0.01,investment_regret,unscaled
20,24,convex_hull,conical_bounded,0.01,investment_regret,unscaled
20,24,convex_hull_with_null,dirac,0.01,investment_regret,unscaled
20,24,convex_hull_with_null,convex,0.01,investment_regret,unscaled
20,24,convex_hull_with_null,conical,0.01,investment_regret,unscaled
20,24,convex_hull_with_null,conical_bounded,0.01,investment_regret,unscaled
20,24,conical_hull,dirac,0.01,investment_regret,unscaled
20,24,conical_hull,convex,0.01,investment_regret,unscaled
20,24,conical_hull,conical,0.01,investment_regret,unscaled
20,24,conical_hull,conical_bounded,0.01,investment_regret,unscaled
40,24,k_means,dirac,0.01,investment_regret,unscaled
40,24,k_means,convex,0.01,investment_regret,unscaled
40,24,k_means,conical,0.01,investment_regret,unscaled
40,24,k_means,conical_bounded,0.01,investment_regret,unscaled
40,24,k_medoids,dirac,0.01,investment_regret,unscaled
40,24,k_medoids,convex,0.01,investment_regret,unscaled
40,24,k_medoids,conical,0.01,investment_regret,unscaled
40,24,k_medoids,conical_bounded,0.01,investment_regret,unscaled
40,24,hierarchical,dirac,0.01,investment_regret,unscaled
40,24,hierarchical,convex,0.01,investment_regret,unscaled
40,24,hierarchical,conical,0.01,investment_regret,unscaled
40,24,hierarchical,conical_bounded,0.01,investment_regret,unscaled
40,24,chronological,dirac,0.01,investment_regret,unscaled
40,24,chronological,convex,0.01,investment_regret,unscaled
40,24,chronological,conical,0.01,investment_regret,unscaled
40,24,chronological,conical_bounded,0.01,investment_regret,unscaled
40,24,convex_hull,dirac,0.01,investment_regret,unscaled
40,24,convex_hull,convex,0.01,investment_regret,unscaled
40,24,convex_hull,conical,0.01,investment_regret,unscaled
40,24,convex_hull,conical_bounded,0.01,investment_regret,unscaled
40,24,convex_hull_with_null,dirac,0.01,investment_regret,unscaled
40,24,convex_hull_with_null,convex,0.01,investment_regret,unscaled
40,24,convex_hull_with_null,conical,0.01,investment_regret,unscaled
40,24,convex_hull_with_null,conical_bounded,0.01,investment_regret,unscaled
40,24,conical_hull,dirac,0.01,investment_regret,unscaled
40,24,conical_hull,convex,0.01,investment_regret,unscaled
40,24,conical_hull,conical,0.01,investment_regret,unscaled
40,24,conical_hull,conical_bounded,0.01,investment_regret,unscaled
80,24,k_means,dirac,0.01,investment_regret,unscaled
80,24,k_means,convex,0.01,investment_regret,unscaled
80,24,k_means,conical,0.01,investment_regret,unscaled
80,24,k_means,conical_bounded,0.01,investment_regret,unscaled
80,24,k_medoids,dirac,0.01,investment_regret,unscaled
80,24,k_medoids,convex,0.01,investment_regret,unscaled
80,24,k_medoids,conical,0.01,investment_regret,unscaled
80,24,k_medoids,conical_bounded,0.01,investment_regret,unscaled
80,24,hierarchical,dirac,0.01,investment_regret,unscaled
80,24,hierarchical,convex,0.01,investment_regret,unscaled
80,24,hierarchical,conical,0.01,investment_regret,unscaled
80,24,hierarchical,conical_bounded,0.01,investment_regret,unscaled
80,24,chronological,dirac,0.01,investment_regret,unscaled
80,24,chronological,convex,0.01,investment_regret,unscaled
80,24,chronological,conical,0.01,investment_regret,unscaled
80,24,chronological,conical_bounded,0.01,investment_regret,unscaled
80,24,convex_hull,dirac,0.01,investment_regret,unscaled
80,24,convex_hull,convex,0.01,investment_regret,unscaled
80,24,convex_hull,conical,0.01,investment_regret,unscaled
80,24,convex_hull,conical_bounded,0.01,investment_regret,unscaled
80,24,convex_hull_with_null,dirac,0.01,investment_regret,unscaled
80,24,convex_hull_with_null,convex,0.01,investment_regret,unscaled
80,24,convex_hull_with_null,conical,0.01,investment_regret,unscaled
80,24,convex_hull_with_null,conical_bounded,0.01,investment_regret,unscaled
80,24,conical_hull,dirac,0.01,investment_regret,unscaled
80,24,conical_hull,convex,0.01,investment_regret,unscaled
80,24,conical_hull,conical,0.01,investment_regret,unscaled
80,24,conical_hull,conical_bounded,0.01,investment_regret,unscaled
