n_rep_periods,period_length,clustering_type,distance,weight_type,niters,learning_rate,evaluation_type
50,24,hull,cosine,conical,1000,0.001,storage_regret
70,24,k_means,euclidean,dirac,1000,0.001,storage_regret
70,24,k_medoids,euclidean,dirac,1000,0.001,storage_regret
70,24,hull,euclidean,dirac,1000,0.001,storage_regret
70,24,k_means,euclidean,convex,1000,0.001,storage_regret
70,24,k_medoids,euclidean,convex,1000,0.001,storage_regret
70,24,hull,euclidean,convex,1000,0.001,storage_regret
70,24,k_means,euclidean,conical_bounded,1000,0.001,storage_regret
70,24,k_medoids,euclidean,conical_bounded,1000,0.001,storage_regret
70,24,hull,euclidean,conical_bounded,1000,0.001,storage_regret
70,24,k_means,euclidean,conical,1000,0.001,storage_regret
70,24,k_medoids,euclidean,conical,1000,0.001,storage_regret
70,24,hull,euclidean,conical,1000,0.001,storage_regret
70,24,k_means,cosine,conical_bounded,1000,0.001,storage_regret
70,24,k_medoids,cosine,conical_bounded,1000,0.001,storage_regret
70,24,hull,cosine,conical_bounded,1000,0.001,storage_regret
70,24,k_means,cosine,conical,1000,0.001,storage_regret
70,24,k_medoids,cosine,conical,1000,0.001,storage_regret
70,24,hull,cosine,conical,1000,0.001,storage_regret
100,24,k_means,euclidean,dirac,1000,0.001,storage_regret
100,24,k_medoids,euclidean,dirac,1000,0.001,storage_regret
100,24,hull,euclidean,dirac,1000,0.001,storage_regret
100,24,k_means,euclidean,convex,1000,0.001,storage_regret
100,24,k_medoids,euclidean,convex,1000,0.001,storage_regret
100,24,hull,euclidean,convex,1000,0.001,storage_regret
100,24,k_means,euclidean,conical_bounded,1000,0.001,storage_regret
100,24,k_medoids,euclidean,conical_bounded,1000,0.001,storage_regret
100,24,hull,euclidean,conical_bounded,1000,0.001,storage_regret
100,24,k_means,euclidean,conical,1000,0.001,storage_regret
100,24,k_medoids,euclidean,conical,1000,0.001,storage_regret
100,24,hull,euclidean,conical,1000,0.001,storage_regret
100,24,k_means,cosine,conical_bounded,1000,0.001,storage_regret
100,24,k_medoids,cosine,conical_bounded,1000,0.001,storage_regret
100,24,hull,cosine,conical_bounded,1000,0.001,storage_regret
100,24,k_means,cosine,conical,1000,0.001,storage_regret
100,24,k_medoids,cosine,conical,1000,0.001,storage_regret
100,24,hull,cosine,conical,1000,0.001,storage_regret
