name,seed,n_rep_periods,period_length,clustering_type,weight_type,normalization,tol,projection_error,sigma_max,sigma_min,kappa,stable_rank,numerical_rank,mean_weight_sum,max_weight_sum,frac_weight_sum_gt1,frac_weight_sum_lt1,weight_density,pgd_total_iters,pgd_max_iters_per_fit,cache_hits,cache_misses,termination_status,objective_value,cost_of_investment,cost_of_operations,cost_of_spillage,cost_of_borrow,n_variables,n_constraints,evaluation_termination_status,evaluated_objective_value,eval_cost_of_investment,eval_cost_of_operations,eval_cost_of_spillage,eval_cost_of_borrow,eval_n_variables,eval_n_constraints,total_spillage,total_borrow,time_to_preprocess,time_to_cluster,time_to_fit_weights,time_to_formulate_model,time_to_solve,time_to_read
synth/knobs/noise10_1_2880_k_means_dirac_0.01_economic,643543,1,2880,k_means,dirac,economic,0.01,0.0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,1.0,0,0,0,0,OPTIMAL,729888.9143645207,0.0,729888.9143645207,0.0,0.0,40329,74901,N/A,,,,,,0,0,0.0,0.0,0.003172125,0.003973625,1.0e-6,0.077518042,0.17013375,0.027057916
synth/knobs/noise10_10_24_conical_hull_dirac_0.01_economic,643543,10,24,conical_hull,dirac,economic,0.01,568.2821647626967,805.288548403466,19.669058227224486,40.94189661245925,1.3342916777373808,10,1.0,1.0,0.0,0.0,0.1,0,0,372,663,OPTIMAL,811351.2465343536,0.0,811351.2465343534,0.0,0.0,4473,8439,OPTIMAL,839328.7747811335,0.0,839328.7747785783,0.0,2.5556801119819283e-6,40329,74541,10312.252078215757,2.5556801119819283e-10,0.003513625,0.1920885,8.75e-7,0.030964959,0.017708084,0.027057916
synth/knobs/noise10_10_24_conical_hull_convex_0.01_economic,643543,10,24,conical_hull,convex,economic,0.01,314.2836886199813,805.288548403466,19.669058227224486,40.94189661245925,1.3342916777373808,10,1.0,1.0000000000000002,0.0,0.0,0.33,29608,486,372,663,OPTIMAL,813977.9988993644,0.0,813977.9988993643,0.0,0.0,4473,8439,OPTIMAL,765653.0114963442,0.0,765653.0114963216,0.0,2.2737367544323206e-8,40329,74541,7856.393302140329,2.2737367544323206e-12,0.003592209,0.008876667,0.0093055,0.032750083,0.039700625,0.027057916
synth/knobs/noise10_10_24_conical_hull_conical_0.01_economic,643543,10,24,conical_hull,conical,economic,0.01,305.12905115260304,805.288548403466,19.669058227224486,40.94189661245925,1.3342916777373808,10,1.0016346926509156,1.0577520880279667,0.4583333333333333,0.4583333333333333,0.3308333333333333,29815,488,372,663,OPTIMAL,810516.4490504318,0.0,810516.449050432,0.0,0.0,4473,8439,OPTIMAL,762612.0388627349,0.0,762612.0388624439,0.0,2.9103830456733704e-7,40329,74541,7755.02754767777,2.9103830456733704e-11,0.00356825,0.009452625,0.038705833,0.031481708,0.042627625,0.027057916
synth/knobs/noise10_10_24_conical_hull_conical_bounded_0.01_economic,643543,10,24,conical_hull,conical_bounded,economic,0.01,311.67246796354345,805.288548403466,19.669058227224486,40.94189661245925,1.3342916777373808,10,0.98951963821742,1.0,0.0,0.5416666666666666,0.3258333333333333,29133,460,372,663,OPTIMAL,801556.7283600315,0.0,801556.7283600315,0.0,0.0,4473,8439,OPTIMAL,767516.3614164373,0.0,767516.3614159826,0.0,4.547473508864641e-7,40329,74541,7918.504966129069,4.547473508864641e-11,0.003581667,0.008683,0.009447458,0.032207,0.036480167,0.027057916
synth/knobs/noise10_10_24_k_means_convex_0.01_economic,643543,10,24,k_means,convex,economic,0.01,290.00182687182354,820.2408857555239,4.349229165670216,188.59454273643107,1.2550935832080456,10,1.0,1.0000000000000002,0.0,0.0,0.19666666666666666,20650,572,0,0,OPTIMAL,754736.8068397533,0.0,754736.8068397534,0.0,0.0,4473,8439,OPTIMAL,770832.4381242756,0.0,770832.4381240756,0.0,2.000888343900442e-7,40329,74541,8029.040856398806,2.000888343900442e-11,0.003386875,0.005213,0.006169584,0.031287375,0.02858925,0.027057916
synth/knobs/noise10_10_24_k_medoids_convex_0.01_economic,643543,10,24,k_medoids,convex,economic,0.01,329.63518602787923,819.1679894467068,13.573350121454439,60.35120159111682,1.276286201122929,10,1.0,1.0,0.0,0.0,0.25416666666666665,27027,577,0,0,OPTIMAL,752406.4063102462,0.0,752406.4063102461,0.0,0.0,4473,8439,OPTIMAL,739881.7419712692,0.0,739881.7419708691,0.0,4.001776687800884e-7,40329,74541,6997.350984625282,4.001776687800884e-11,0.003309875,0.005363834,0.007959417,0.0310555,0.035239084,0.027057916
synth/knobs/noise10_10_24_hierarchical_convex_0.01_economic,643543,10,24,hierarchical,convex,economic,0.01,337.1042616621899,816.1328464511209,12.086444609538677,67.5246420942537,1.2712462856559525,10,1.0,1.0000000000000002,0.0,0.0,0.23916666666666667,24283,430,0,0,OPTIMAL,710562.9901507929,0.0,710562.9901507928,0.0,0.0,4473,8439,OPTIMAL,740135.9540209637,0.0,740135.954020909,0.0,5.4569682106375694e-8,40329,74541,7005.824719626536,5.4569682106375694e-12,0.003249959,0.005012625,0.007042041,0.030953792,0.033468583,0.027057916
synth/knobs/noise10_10_24_chronological_convex_0.01_economic,643543,10,24,chronological,convex,economic,0.01,336.3652294381423,804.4181370755157,14.379249793367482,55.942983718563575,1.2850143095022475,10,1.0,1.0000000000000002,0.0,0.0,0.27666666666666667,30505,616,0,0,OPTIMAL,738716.9164796846,0.0,738716.9164796846,0.0,0.0,4473,8439,OPTIMAL,738191.2514860703,0.0,738191.2514861776,0.0,-1.0686562745831907e-7,40329,74541,6941.0013018022,-1.0686562745831907e-11,0.003253209,0.004891584,0.008733,0.030781041,0.042906625,0.027057916
synth/knobs/noise10_10_24_convex_hull_convex_0.01_economic,643543,10,24,convex_hull,convex,economic,0.01,319.9428579878861,843.8656976003414,19.863414367374375,42.483416093176274,1.3193041797222078,10,1.0,1.0000000000000002,0.0,0.0,0.3233333333333333,30330,554,420,615,OPTIMAL,993004.6710229884,0.0,993004.6710229886,0.0,0.0,4473,8439,OPTIMAL,895758.110707108,0.0,895758.1107065305,0.0,5.775291356258094e-7,40329,74541,12193.229942480702,5.775291356258094e-11,0.0033555,0.01470675,0.008744167,0.03128975,0.033055708,0.027057916
synth/knobs/noise10_10_24_conical_hull_convex_0.01,643543,10,24,conical_hull,convex,unscaled,0.01,4.389765996294945,11.259094962948833,0.2167751164749574,51.93905622580773,1.5497819385885498,10,1.0,1.0000000000000002,0.0,0.0,0.30083333333333334,10281,219,438,597,OPTIMAL,803569.085615637,0.0,803569.0856156371,0.0,0.0,4473,8439,OPTIMAL,747117.2766330928,0.0,747117.2766324197,0.0,6.730260793119669e-7,40329,74541,7238.535473343691,6.730260793119669e-11,0.003432917,0.006550542,0.003680167,0.03236925,0.042263333,0.027057916
synth/knobs/noise10_10_24_conical_hull_convex_0.01_minmax,643543,10,24,conical_hull,convex,minmax,0.01,6.905210210553021,10.384115981657668,0.3581921162475026,28.990353250774735,1.7721232680621528,10,1.0,1.0000000000000002,0.0,0.0,0.335,9039,195,390,645,OPTIMAL,766527.8414225476,0.0,766527.8414225477,0.0,0.0,4473,8439,OPTIMAL,752067.2612131237,0.0,752067.2612123961,0.0,7.275957614183426e-7,40329,74541,7403.534959342906,7.275957614183426e-11,0.0034015,0.043220709,0.002900625,0.030775916,0.042965458,0.027057916
